item,category,selling price,yield portions,yield label,ingredient,qty,unit,source text
Cappuccino - Large 250 ml,Tea Corner,8.00,1,serving,Cocoa powder,0.8,g,
Cappuccino - Large 250 ml,Tea Corner,8.00,1,serving,Paper cup large + lid,1,ea,
Sahalab - Small 150 ml,Tea Corner,5.00,1,serving,Fresh milk,138,ml,150 ml Sahalab Base
Sahalab - Small 150 ml,Tea Corner,5.00,1,serving,Sahlab powder,4.5,g,150 ml Sahalab Base
Sahalab - Small 150 ml,Tea Corner,5.00,1,serving,Corn starch,2.7,g,150 ml Sahalab Base
Sahalab - Small 150 ml,Tea Corner,5.00,1,serving,White sugar,12,g,150 ml Sahalab Base
Sahalab - Small 150 ml,Tea Corner,5.00,1,serving,Rose water,1.2,ml,150 ml Sahalab Base
Sahalab - Small 150 ml,Tea Corner,5.00,1,serving,"Pistachio, slivered",4,g,
Sahalab - Small 150 ml,Tea Corner,5.00,1,serving,Desiccated coconut,2,g,
Sahalab - Small 150 ml,Tea Corner,5.00,1,serving,Cinnamon stick,0.3,g,
Sahalab - Small 150 ml,Tea Corner,5.00,1,serving,Paper cup small + lid,1,ea,
Sahalab - Large 250 ml,Tea Corner,8.00,1,serving,Fresh milk,230,ml,250 ml Sahalab Base
Sahalab - Large 250 ml,Tea Corner,8.00,1,serving,Sahlab powder,7.5,g,250 ml Sahalab Base
Sahalab - Large 250 ml,Tea Corner,8.00,1,serving,Corn starch,4.5,g,250 ml Sahalab Base
Sahalab - Large 250 ml,Tea Corner,8.00,1,serving,White sugar,20,g,250 ml Sahalab Base
Sahalab - Large 250 ml,Tea Corner,8.00,1,serving,Rose water,2,ml,250 ml Sahalab Base
Sahalab - Large 250 ml,Tea Corner,8.00,1,serving,"Pistachio, slivered",6,g,
Sahalab - Large 250 ml,Tea Corner,8.00,1,serving,Desiccated coconut,3,g,
Sahalab - Large 250 ml,Tea Corner,8.00,1,serving,Cinnamon stick,0.5,g,
Sahalab - Large 250 ml,Tea Corner,8.00,1,serving,Paper cup large + lid,1,ea,
Kashmiri Tea - Small 150 ml,Tea Corner,5.00,1,serving,Water,100,ml,60 ml Kashmiri Pink Tea Concentrate
Kashmiri Tea - Small 150 ml,Tea Corner,5.00,1,serving,Kashmiri green tea leaves,3,g,60 ml Kashmiri Pink Tea Concentrate
Kashmiri Tea - Small 150 ml,Tea Corner,5.00,1,serving,Baking soda,0.16,g,60 ml Kashmiri Pink Tea Concentrate
Kashmiri Tea - Small 150 ml,Tea Corner,5.00,1,serving,Salt,0.1,g,60 ml Kashmiri Pink Tea Concentrate
Kashmiri Tea - Small 150 ml,Tea Corner,5.00,1,serving,Green cardamom,0.2,g,60 ml Kashmiri Pink Tea Concentrate
Kashmiri Tea - Small 150 ml,Tea Corner,5.00,1,serving,Cinnamon stick,0.1,g,60 ml Kashmiri Pink Tea Concentrate
Kashmiri Tea - Small 150 ml,Tea Corner,5.00,1,serving,Fresh milk,110,ml,
Kashmiri Tea - Small 150 ml,Tea Corner,5.00,1,serving,White sugar,10,g,
Kashmiri Tea - Small 150 ml,Tea Corner,5.00,1,serving,"Pistachio, slivered",3,g,
Kashmiri Tea - Small 150 ml,Tea Corner,5.00,1,serving,Paper cup small + lid,1,ea,
Kashmiri Tea - Large 250 ml,Tea Corner,8.00,1,serving,Water,166.667,ml,100 ml Kashmiri Pink Tea Concentrate
Kashmiri Tea - Large 250 ml,Tea Corner,8.00,1,serving,Kashmiri green tea leaves,5,g,100 ml Kashmiri Pink Tea Concentrate
Kashmiri Tea - Large 250 ml,Tea Corner,8.00,1,serving,Baking soda,0.267,g,100 ml Kashmiri Pink Tea Concentrate
Kashmiri Tea - Large 250 ml,Tea Corner,8.00,1,serving,Salt,0.167,g,100 ml Kashmiri Pink Tea Concentrate
Kashmiri Tea - Large 250 ml,Tea Corner,8.00,1,serving,Green cardamom,0.333,g,100 ml Kashmiri Pink Tea Concentrate
Kashmiri Tea - Large 250 ml,Tea Corner,8.00,1,serving,Cinnamon stick,0.167,g,100 ml Kashmiri Pink Tea Concentrate
Kashmiri Tea - Large 250 ml,Tea Corner,8.00,1,serving,Fresh milk,180,ml,
Kashmiri Tea - Large 250 ml,Tea Corner,8.00,1,serving,White sugar,16,g,
Kashmiri Tea - Large 250 ml,Tea Corner,8.00,1,serving,"Pistachio, slivered",5,g,
Kashmiri Tea - Large 250 ml,Tea Corner,8.00,1,serving,Paper cup large + lid,1,ea,
Boost - Small 150 ml,Tea Corner,5.00,1,serving,Boost powder,12,g,
Boost - Small 150 ml,Tea Corner,5.00,1,serving,Fresh milk,140,ml,
Boost - Small 150 ml,Tea Corner,5.00,1,serving,White sugar,5,g,
Boost - Small 150 ml,Tea Corner,5.00,1,serving,Paper cup small + lid,1,ea,
Boost - Large 250 ml,Tea Corner,8.00,1,serving,Boost powder,20,g,
Boost - Large 250 ml,Tea Corner,8.00,1,serving,Fresh milk,240,ml,
Boost - Large 250 ml,Tea Corner,8.00,1,serving,White sugar,8,g,
Boost - Large 250 ml,Tea Corner,8.00,1,serving,Paper cup large + lid,1,ea,
Horlicks - Small 150 ml,Tea Corner,5.00,1,serving,Horlicks powder,14,g,
Horlicks - Small 150 ml,Tea Corner,5.00,1,serving,Fresh milk,140,ml,
Horlicks - Small 150 ml,Tea Corner,5.00,1,serving,White sugar,4,g,
Horlicks - Small 150 ml,Tea Corner,5.00,1,serving,Paper cup small + lid,1,ea,
Horlicks - Large 250 ml,Tea Corner,8.00,1,serving,Horlicks powder,22,g,
Horlicks - Large 250 ml,Tea Corner,8.00,1,serving,Fresh milk,240,ml,
Horlicks - Large 250 ml,Tea Corner,8.00,1,serving,White sugar,6,g,
Horlicks - Large 250 ml,Tea Corner,8.00,1,serving,Paper cup large + lid,1,ea,
Hot Chocolate - Small 150 ml,Tea Corner,5.00,1,serving,Drinking chocolate powder,20,g,
Hot Chocolate - Small 150 ml,Tea Corner,5.00,1,serving,Fresh milk,140,ml,
Hot Chocolate - Small 150 ml,Tea Corner,5.00,1,serving,White sugar,4,g,
Hot Chocolate - Small 150 ml,Tea Corner,5.00,1,serving,Paper cup small + lid,1,ea,
Hot Chocolate - Large 250 ml,Tea Corner,8.00,1,serving,Drinking chocolate powder,32,g,
Hot Chocolate - Large 250 ml,Tea Corner,8.00,1,serving,Fresh milk,240,ml,
Hot Chocolate - Large 250 ml,Tea Corner,8.00,1,serving,White sugar,6,g,
Hot Chocolate - Large 250 ml,Tea Corner,8.00,1,serving,Paper cup large + lid,1,ea,
Honey Cake - slice,Tea Corner,11.00,1,serving,"Honey cake, whole (10 slices)",0.1,ea,
Honey Cake - slice,Tea Corner,11.00,1,serving,Cake box + fork,1,ea,
Zafran Cake - slice,Tea Corner,14.00,1,serving,"Zafran cake, whole (10 slices)",0.1,ea,
Zafran Cake - slice,Tea Corner,14.00,1,serving,Cake box + fork,1,ea,
